Invoice ID,Customer ID,Customer,Segment,Invoice Date,Due Date,Invoice Amount,Paid Amount,Payment Date,Collector,Promise Date,Promise Amount,Dispute,Risk Tier
INV-0001,CUS-001,Customer 01,Retail,2026-02-09,2026-03-26,11581.18,11581.18,2026-03-31,Maya,,0,No,Low
INV-0002,CUS-002,Customer 02,Commercial,2026-03-09,2026-04-23,8077.14,8077.14,2026-04-22,Karim,,0,No,Medium
INV-0003,CUS-003,Customer 03,Hospitality,2026-02-14,2026-03-16,5380.17,5380.17,2026-03-08,Rita,,0,No,Medium
INV-0004,CUS-004,Customer 04,Public Sector,2026-04-19,2026-06-18,6978.24,6978.24,2026-07-05,Nabil,,0,No,High
INV-0005,CUS-005,Customer 05,Retail,2026-06-10,2026-07-25,10505.04,10505.04,2026-07-29,Maya,,0,No,Low
INV-0006,CUS-006,Customer 06,Commercial,2026-04-22,2026-05-22,10195.04,10195.04,2026-05-22,Karim,,0,No,Medium
INV-0007,CUS-007,Customer 07,Hospitality,2026-01-10,2026-02-09,13086.89,13086.89,2026-03-06,Rita,,0,No,Medium
INV-0008,CUS-008,Customer 08,Public Sector,2026-01-17,2026-03-03,11151.36,11151.36,2026-03-21,Nabil,,0,No,High
INV-0009,CUS-009,Customer 09,Retail,2026-04-24,2026-05-09,10429.32,10429.32,2026-05-14,Maya,,0,No,Low
INV-0010,CUS-010,Customer 10,Commercial,2026-06-01,2026-07-01,14909.67,14909.67,2026-07-09,Karim,,0,No,Medium
INV-0011,CUS-011,Customer 11,Hospitality,2026-01-08,2026-02-22,16649.19,16649.19,2026-03-08,Rita,,0,No,Medium
INV-0012,CUS-012,Customer 12,Public Sector,2026-01-18,2026-03-04,929.54,929.54,2026-03-15,Nabil,,0,No,High
INV-0013,CUS-013,Customer 13,Retail,2026-01-25,2026-02-09,10115.74,10115.74,2026-03-04,Maya,,0,No,Low
INV-0014,CUS-014,Customer 14,Commercial,2026-04-22,2026-05-22,16405.37,16405.37,2026-05-14,Karim,,0,No,Medium
INV-0015,CUS-015,Customer 15,Hospitality,2026-03-27,2026-04-26,14864.3,14864.3,2026-05-05,Rita,,0,No,Medium
INV-0016,CUS-016,Customer 16,Public Sector,2026-05-10,2026-07-09,5485.93,5485.93,2026-07-08,Nabil,,0,No,High
INV-0017,CUS-017,Customer 17,Retail,2026-05-11,2026-07-10,8524.65,8524.65,2026-07-21,Maya,,0,No,Low
INV-0018,CUS-018,Customer 18,Commercial,2026-02-02,2026-02-17,7715.35,0,,Karim,2026-07-18,4756.93,No,Medium
INV-0019,CUS-019,Customer 19,Hospitality,2026-03-04,2026-04-18,4980.62,4980.62,2026-04-12,Rita,,0,No,Medium
INV-0020,CUS-020,Customer 20,Public Sector,2026-02-02,2026-03-04,12071.05,6456.92,2026-03-15,Nabil,,0,No,High
INV-0021,CUS-021,Customer 21,Retail,2026-03-25,2026-04-24,8331.98,8331.98,2026-04-19,Maya,,0,No,Low
INV-0022,CUS-022,Customer 22,Commercial,2026-05-15,2026-05-30,5640.52,0,,Karim,2026-07-03,2874.33,No,Medium
INV-0023,CUS-023,Customer 23,Hospitality,2026-06-07,2026-07-22,4504.81,4504.81,2026-08-02,Rita,,0,No,Medium
INV-0024,CUS-024,Customer 24,Public Sector,2026-03-01,2026-03-16,8380.6,8380.6,2026-04-10,Nabil,,0,No,High
INV-0025,CUS-025,Customer 25,Retail,2026-04-05,2026-06-04,6843.37,6843.37,2026-06-24,Maya,,0,No,Low
INV-0026,CUS-026,Customer 26,Commercial,2026-05-10,2026-06-09,1639.11,1639.11,2026-06-18,Karim,,0,No,Medium
INV-0027,CUS-027,Customer 27,Hospitality,2026-04-22,2026-05-22,2735.9,2735.9,2026-05-31,Rita,,0,No,Medium
INV-0028,CUS-028,Customer 28,Public Sector,2026-05-12,2026-07-11,1299,1299,2026-07-11,Nabil,,0,No,High
INV-0029,CUS-029,Customer 29,Retail,2026-02-13,2026-04-14,8120.7,0,,Maya,2026-07-25,4638.19,No,Low
INV-0030,CUS-030,Customer 30,Commercial,2026-06-09,2026-06-24,1462.8,0,,Karim,2026-07-06,1028.27,Yes,Medium
INV-0031,CUS-031,Customer 31,Hospitality,2026-05-12,2026-06-26,1504.18,0,,Rita,,0,Yes,Medium
INV-0032,CUS-032,Customer 32,Public Sector,2026-04-17,2026-06-01,9097.48,0,,Nabil,,0,No,High
INV-0033,CUS-033,Customer 33,Retail,2026-03-28,2026-05-12,14749.27,14749.27,2026-05-23,Maya,,0,No,Low
INV-0034,CUS-034,Customer 34,Commercial,2026-03-18,2026-05-02,4425.78,0,,Karim,,0,No,Medium
INV-0035,CUS-035,Customer 35,Hospitality,2026-05-12,2026-06-11,6072.3,2881.97,2026-06-26,Rita,,0,No,Medium
INV-0036,CUS-036,Customer 36,Public Sector,2026-01-19,2026-03-20,15355.66,15355.66,2026-04-09,Nabil,,0,No,High
