Supplier ID,Supplier,Region,Primary Category
SUP-001,Supplier 01,Lebanon,Lighting
SUP-002,Supplier 02,Italy,Electrical
SUP-003,Supplier 03,Turkey,Controls
SUP-004,Supplier 04,China,Fixtures
SUP-005,Supplier 05,UAE,Cables
SUP-006,Supplier 06,Lebanon,Lighting
SUP-007,Supplier 07,Italy,Electrical
SUP-008,Supplier 08,Turkey,Controls
SUP-009,Supplier 09,China,Fixtures
SUP-010,Supplier 10,UAE,Cables
SUP-011,Supplier 11,Lebanon,Lighting
SUP-012,Supplier 12,Italy,Electrical
SUP-013,Supplier 13,Turkey,Controls
SUP-014,Supplier 14,China,Fixtures
SUP-015,Supplier 15,UAE,Cables
SUP-016,Supplier 16,Lebanon,Lighting
SUP-017,Supplier 17,Italy,Electrical
SUP-018,Supplier 18,Turkey,Controls
SUP-019,Supplier 19,China,Fixtures
SUP-020,Supplier 20,UAE,Cables
