Request ID,Channel,Request Type,Priority,Created Date,First Response Hours,Resolved Date,Status,Owner,Satisfaction
SR-0001,Email,Product issue,Low,2026-05-12,20.1,2026-05-13,Resolved,Agent 1,5
SR-0002,Web form,Account update,Medium,2026-06-05,4.4,2026-06-08,Resolved,Agent 2,2
SR-0003,Email,Product issue,Low,2026-06-08,17.6,2026-06-11,Resolved,Agent 3,2
SR-0004,Web form,Account update,Low,2026-05-07,6.9,2026-05-07,Resolved,Agent 4,5
SR-0005,Web form,Billing,Medium,2026-05-24,18.2,2026-05-26,Resolved,Agent 5,5
SR-0006,Email,Delivery inquiry,Low,2026-06-14,13.6,2026-06-17,Resolved,Agent 6,4
SR-0007,Phone,Account update,Low,2026-05-30,13.6,2026-05-31,Resolved,Agent 1,3
SR-0008,Email,Access,Medium,2026-04-29,9.9,2026-04-30,Resolved,Agent 2,4
SR-0009,Email,Account update,Low,2026-06-04,7.6,2026-06-05,Resolved,Agent 3,5
SR-0010,Phone,Delivery inquiry,Medium,2026-05-17,10.9,2026-05-18,Resolved,Agent 4,4
SR-0011,Web form,Delivery inquiry,Low,2026-06-15,13.2,2026-06-15,Resolved,Agent 5,5
SR-0012,Email,Access,Medium,2026-06-18,7.3,2026-06-21,Resolved,Agent 6,4
SR-0013,Web form,Delivery inquiry,Medium,2026-04-09,9.6,2026-04-09,Resolved,Agent 1,5
SR-0014,Phone,Delivery inquiry,High,2026-06-07,2.9,2026-06-08,Resolved,Agent 2,4
SR-0015,Web form,Billing,High,2026-06-07,7.5,,Waiting on customer,Agent 3,
SR-0016,Phone,Account update,Low,2026-04-26,17,,Waiting on customer,Agent 4,
SR-0017,Email,Delivery inquiry,Low,2026-05-10,2.5,2026-05-12,Resolved,Agent 5,5
SR-0018,Web form,Access,High,2026-06-23,2.9,,Waiting on customer,Agent 6,
SR-0019,Email,Product issue,High,2026-06-20,3.2,2026-06-22,Resolved,Agent 1,5
SR-0020,Phone,Product issue,High,2026-05-17,4.1,,Escalated,Agent 2,
SR-0021,Phone,Delivery inquiry,Medium,2026-06-15,8.8,2026-06-16,Resolved,Agent 3,4
SR-0022,Phone,Billing,Low,2026-06-25,4,2026-06-27,Resolved,Agent 4,2
SR-0023,Web form,Account update,Low,2026-05-10,9.6,2026-05-11,Resolved,Agent 5,3
SR-0024,Email,Billing,Low,2026-06-17,15.7,2026-06-18,Resolved,Agent 6,4
SR-0025,Web form,Access,High,2026-06-29,3.4,2026-06-30,Resolved,Agent 1,4
SR-0026,Email,Delivery inquiry,Low,2026-04-16,12.6,,Waiting on customer,Agent 2,
SR-0027,Web form,Account update,Medium,2026-06-04,12.8,2026-06-06,Resolved,Agent 3,5
SR-0028,Web form,Delivery inquiry,Medium,2026-06-18,20.1,2026-06-21,Resolved,Agent 4,3
SR-0029,Email,Account update,Medium,2026-05-21,13.7,2026-05-22,Resolved,Agent 5,5
SR-0030,Phone,Delivery inquiry,Low,2026-05-14,16.3,2026-05-15,Resolved,Agent 6,4
SR-0031,Email,Account update,Medium,2026-06-05,19.1,2026-06-05,Resolved,Agent 1,3
SR-0032,Web form,Product issue,Low,2026-04-02,1.2,2026-04-02,Resolved,Agent 2,5
SR-0033,Email,Billing,Medium,2026-04-01,12.5,2026-04-03,Resolved,Agent 3,2
SR-0034,Phone,Account update,High,2026-06-05,7.6,,Escalated,Agent 4,
SR-0035,Email,Product issue,Medium,2026-05-26,7.7,,Open,Agent 5,
SR-0036,Web form,Product issue,Medium,2026-06-05,19,2026-06-07,Resolved,Agent 6,2
SR-0037,Email,Account update,High,2026-06-25,2.6,2026-06-25,Resolved,Agent 1,4
SR-0038,Web form,Billing,High,2026-04-19,2.5,,Open,Agent 2,
SR-0039,Email,Account update,Medium,2026-06-08,8.6,2026-06-10,Resolved,Agent 3,3
SR-0040,Phone,Account update,Medium,2026-06-07,12.4,2026-06-07,Resolved,Agent 4,5
SR-0041,Email,Delivery inquiry,Medium,2026-05-30,1.5,2026-06-02,Resolved,Agent 5,4
SR-0042,Phone,Product issue,Medium,2026-04-27,15.8,,Escalated,Agent 6,
SR-0043,Email,Product issue,Medium,2026-05-06,18.2,2026-05-07,Resolved,Agent 1,3
