product_category,orders,late_orders,late_rate,avg_review,expected_late_orders_at_network_rate,excess_late_orders,rank
Health Beauty,8601,758,0.0881,4.2302,686.6781,71.3219,1
Bed Bath Table,9177,788,0.0859,4.003,732.6642,55.3358,2
Electronics,2498,245,0.0981,4.1245,199.4328,45.5672,3
Baby,2787,251,0.0901,4.1042,222.5057,28.4943,4
Furniture Decor,6259,525,0.0839,4.0624,499.6998,25.3002,5
Watches Gifts,5452,456,0.0836,4.1214,435.2713,20.7287,6
Auto,3791,323,0.0852,4.1466,302.6621,20.3379,7
Telephony,4069,345,0.0848,4.0519,324.8568,20.1432,8
Office Furniture,1244,112,0.09,3.6438,99.3172,12.6828,9
Construction Tools Construction,731,65,0.0889,4.1247,58.3608,6.6392,10
Musical Instruments,605,54,0.0893,4.2347,48.3014,5.6986,11
Consoles Games,1009,80,0.0793,4.1786,80.5555,-0.5555,12
