month,orders,late_orders,late_rate,late_24h_rate,avg_review,median_ship_days
2017-01,731,22,0.0301,0.0287,4.2041,2.4736
2017-02,1593,44,0.0276,0.0251,4.2029,2.3375
2017-03,2478,135,0.0545,0.044,4.1922,1.98
2017-04,2228,172,0.0772,0.0637,4.1357,2.6891
2017-05,3437,119,0.0346,0.0288,4.2388,1.9806
2017-06,3060,116,0.0379,0.0297,4.2307,2.1887
2017-07,3795,129,0.034,0.0277,4.2595,2.2823
2017-08,4102,135,0.0329,0.0288,4.3193,2.1904
2017-09,4058,206,0.0508,0.0426,4.2713,2.3504
2017-10,4396,227,0.0516,0.0405,4.2033,2.2919
2017-11,7135,1002,0.1404,0.1221,3.9899,3.1684
2017-12,5333,436,0.0818,0.0733,4.1018,2.8293
2018-01,6846,437,0.0638,0.0554,4.119,2.4173
2018-02,6402,1024,0.16,0.1414,3.8814,2.5238
2018-03,6830,1443,0.2113,0.1868,3.8104,2.3756
2018-04,6685,349,0.0522,0.0441,4.2068,2.0626
2018-05,6687,548,0.082,0.0651,4.2373,1.8049
2018-06,6051,83,0.0137,0.0117,4.308,1.7593
2018-07,6073,265,0.0436,0.0328,4.3206,1.7905
2018-08,6298,648,0.1029,0.061,4.3094,1.7561
