seller_state,customer_state,orders,late_orders,late_rate,avg_review,median_ship_days,slow_handoff_rate,expected_late_orders_at_network_rate,excess_late_orders,route,rank
SP,RJ,7850,1214,0.1546,3.9062,2.3052,0.2794,626.7205,587.2795,SP to RJ,1
SP,BA,2233,333,0.1491,3.8968,2.3438,0.27,178.276,154.724,SP to BA,2
SP,ES,1419,195,0.1374,4.0656,2.4094,0.2678,113.2887,81.7113,SP to ES,3
SP,CE,945,142,0.1503,3.981,2.2025,0.2772,75.446,66.554,SP to CE,4
SP,SC,2243,242,0.1079,4.0598,2.2641,0.2769,179.0744,62.9256,SP to SC,5
SP,MA,478,101,0.2113,3.717,2.4839,0.2657,38.1621,62.8379,SP to MA,6
PR,RJ,932,129,0.1384,3.9138,2.2602,0.2661,74.4081,54.5919,PR to RJ,7
SP,AL,249,64,0.257,3.7177,2.7105,0.3012,19.8794,44.1206,SP to AL,8
SP,PI,318,58,0.1824,3.9717,2.2855,0.2893,25.3882,32.6118,SP to PI,9
SP,PA,652,84,0.1288,3.8892,2.4945,0.2623,52.0537,31.9463,SP to PA,10
SP,MS,463,68,0.1469,4.1,2.26,0.2851,36.9645,31.0355,SP to MS,11
SP,PE,1100,117,0.1064,4.061,2.2842,0.2645,87.8207,29.1793,SP to PE,12
