seller_id,seller_state,orders,late_orders,late_rate,avg_review,low_review_rate,median_ship_days,slow_handoff_rate,expected_late_orders_at_network_rate,excess_late_orders,seller
06a2c3af7b3aee5d69171b0e14f0ee87,MA,384,87,0.2266,4.0182,0.1589,2.865,0.4089,30.6574,56.3426,Seller 06A2C3
e5a3438891c0bfdb9394643f95273d8e,SP,139,31,0.223,3.8777,0.2086,3.8707,0.4676,11.0973,19.9027,Seller E5A343
88460e8ebdecbfecb5f9601833981930,PR,226,47,0.208,3.5336,0.278,6.9464,0.6593,18.0432,28.9568,Seller 88460E
cd68562d3f44870c08922d380acae552,SP,121,21,0.1736,4.0165,0.1653,3.0819,0.3306,9.6603,11.3397,Seller CD6856
8160255418d5aaa7dbdc9f4c64ebda44,SP,351,59,0.1681,4.0256,0.1453,2.8036,0.3875,28.0228,30.9772,Seller 816025
f7ba60f8c3f99e7ee4042fdef03b70c4,SP,213,34,0.1596,4.2582,0.0939,2.4263,0.1831,17.0053,16.9947,Seller F7BA60
431af27f296bc6519d890aa5a05fdb11,SP,113,18,0.1593,3.8407,0.2212,4.0082,0.5044,9.0216,8.9784,Seller 431AF2
2c9e548be18521d1c43cde1c582c6de8,SP,121,19,0.157,4.124,0.1322,1.5679,0.1074,9.6603,9.3397,Seller 2C9E54
c31eff8334d6b3047ed34bebd4d62c36,SP,115,17,0.1478,3.8957,0.1739,5.1005,0.6609,9.1813,7.8187,Seller C31EFF
8f2ce03f928b567e3d56181ae20ae952,SP,150,22,0.1467,4.1467,0.12,3.0777,0.3867,11.9756,10.0244,Seller 8F2CE0
7aa4334be125fcdd2ba64b3180029f14,SP,210,29,0.1381,4.1381,0.1381,4.908,0.5429,16.7658,12.2342,Seller 7AA433
855668e0971d4dfd7bef1b6a4133b41b,SP,292,40,0.137,3.8836,0.1986,3.8477,0.4726,23.3124,16.6876,Seller 855668
2e90cb1677d35cfe24eef47d441b7c87,SP,126,17,0.1349,4.1111,0.1429,1.9817,0.119,10.0595,6.9405,Seller 2E90CB
b499c00f28f4b7069ff6550af8c1348a,SP,141,19,0.1348,4.2643,0.0929,2.272,0.305,11.257,7.743,Seller B499C0
2eb70248d66e0e3ef83659f71b244378,SP,181,24,0.1326,2.7833,0.4778,9.8536,0.8066,14.4505,9.5495,Seller 2EB702
1835b56ce799e6a4dc4eddc053f04066,SP,372,49,0.1317,3.7661,0.207,1.7138,0.1129,29.6994,19.3006,Seller 1835B5
7ad32824caee82087b3e2e5f33b1bf32,SP,137,18,0.1314,3.927,0.1825,1.2665,0.0803,10.9377,7.0623,Seller 7AD328
59b22a78efb79a4797979612b885db36,MG,122,16,0.1311,4.0,0.1967,1.913,0.1148,9.7401,6.2599,Seller 59B22A
b33e7c55446eabf8fe1a42d037ac7d6d,SP,146,19,0.1301,4.2192,0.1233,2.299,0.1438,11.6562,7.3438,Seller B33E7C
a416b6a846a11724393025641d4edd5e,SP,157,20,0.1274,4.2166,0.1401,2.5318,0.293,12.5344,7.4656,Seller A416B6
cfb1a033743668a192316f3c6d1d2671,SP,127,16,0.126,4.2381,0.1111,2.8195,0.3465,10.1393,5.8607,Seller CFB1A0
7e1fb0a3ebfb01ffb3a7dae98bf3238d,SP,152,19,0.125,4.1842,0.1053,1.1904,0.0592,12.1352,6.8648,Seller 7E1FB0
7d13fca15225358621be4086e1eb0964,SP,545,68,0.1248,4.0752,0.1633,3.4418,0.4128,43.5112,24.4888,Seller 7D13FC
0dd184061fb0eaa7ca37932c68ab91c5,SP,155,19,0.1226,4.0645,0.129,2.4585,0.3097,12.3747,6.6253,Seller 0DD184
77530e9772f57a62c906e1c21538ab82,PR,297,36,0.1212,4.2088,0.1313,1.9922,0.1347,23.7116,12.2884,Seller 77530E
7d76b645482be4a332374e8223836592,SP,166,20,0.1205,4.012,0.1386,3.6024,0.4277,13.2529,6.7471,Seller 7D76B6
c3867b4666c7d76867627c2f7fb22e21,SP,220,26,0.1182,4.1,0.1545,1.988,0.1773,17.5641,8.4359,Seller C3867B
9c0e69c7bf2619675bbadf47b43f655a,SP,136,16,0.1176,4.2836,0.0896,3.9764,0.4926,10.8578,5.1422,Seller 9C0E69
4869f7a5dfa277a7dca6462dcf3b52b2,SP,1103,128,0.116,4.1777,0.1224,2.3896,0.1922,88.0602,39.9398,Seller 4869F7
1900267e848ceeba8fa32d80c1a5f5a8,SP,354,41,0.1158,3.9773,0.1591,1.789,0.161,28.2623,12.7377,Seller 190026
e9bc59e7b60fc3063eb2290deda4cced,PR,200,23,0.115,4.11,0.14,4.6197,0.585,15.9674,7.0326,Seller E9BC59
4a3ca9315b744ce9f8e9374361493884,SP,1656,188,0.1135,3.9101,0.17,2.1758,0.2361,132.2101,55.7899,Seller 4A3CA9
8b28d096634035667e8263d57ba3368c,SP,133,15,0.1128,4.0602,0.1353,2.1863,0.1955,10.6183,4.3817,Seller 8B28D0
70a12e78e608ac31179aea7f8422044b,SP,305,34,0.1115,3.8,0.2,2.9734,0.3836,24.3503,9.6497,Seller 70A12E
897060da8b9a21f655304d50fd935913,SP,288,32,0.1111,3.7188,0.2326,2.7929,0.2361,22.9931,9.0069,Seller 897060
4e922959ae960d389249c378d1c939f5,SP,392,43,0.1097,3.9617,0.1786,3.065,0.3597,31.2961,11.7039,Seller 4E9229
