seller_id,seller_state,orders,late_orders,late_rate,avg_review,low_review_rate,median_ship_days,slow_handoff_rate,expected_late_orders_at_network_rate,excess_late_orders,seller,rank
06a2c3af7b3aee5d69171b0e14f0ee87,MA,384,87,0.2266,4.0182,0.1589,2.865,0.4089,30.6574,56.3426,Seller 06A2C3,1
4a3ca9315b744ce9f8e9374361493884,SP,1656,188,0.1135,3.9101,0.17,2.1758,0.2361,132.2101,55.7899,Seller 4A3CA9,2
4869f7a5dfa277a7dca6462dcf3b52b2,SP,1103,128,0.116,4.1777,0.1224,2.3896,0.1922,88.0602,39.9398,Seller 4869F7,3
1f50f920176fa81dab994f9023523100,SP,1359,145,0.1067,4.1835,0.1282,3.9561,0.4937,108.4985,36.5015,Seller 1F50F9,4
8160255418d5aaa7dbdc9f4c64ebda44,SP,351,59,0.1681,4.0256,0.1453,2.8036,0.3875,28.0228,30.9772,Seller 816025,5
88460e8ebdecbfecb5f9601833981930,PR,226,47,0.208,3.5336,0.278,6.9464,0.6593,18.0432,28.9568,Seller 88460E,6
ea8482cd71df3c1969d7b9473ff13abc,SP,1110,117,0.1054,4.0541,0.1387,3.2366,0.373,88.6191,28.3809,Seller EA8482,7
7d13fca15225358621be4086e1eb0964,SP,545,68,0.1248,4.0752,0.1633,3.4418,0.4128,43.5112,24.4888,Seller 7D13FC,8
8b321bb669392f5163d04c59e235e066,SP,913,96,0.1051,4.1227,0.1347,1.969,0.1665,72.8912,23.1088,Seller 8B321B,9
1025f0e2d44d7041d6cf58b6550e0bfa,SP,872,91,0.1044,4.0483,0.1588,3.4535,0.4106,69.6179,21.3821,Seller 1025F0,10
e5a3438891c0bfdb9394643f95273d8e,SP,139,31,0.223,3.8777,0.2086,3.8707,0.4676,11.0973,19.9027,Seller E5A343,11
7c67e1448b00f6e969d365cea6b010ab,SP,957,96,0.1003,3.5094,0.2516,11.3486,0.976,76.404,19.596,Seller 7C67E1,12
