customer_state,orders,late_orders,late_rate,avg_review,low_review_rate,median_ship_days,expected_late_orders_at_network_rate,excess_late_orders
AL,390,91,0.2333,3.8535,0.2108,2.6938,31.1364,59.8636
MA,704,137,0.1946,3.8293,0.2006,2.4962,56.2052,80.7948
PI,464,74,0.1595,3.9935,0.1616,2.25,37.0444,36.9556
CE,1260,190,0.1508,3.9515,0.1685,2.2005,100.5946,89.4054
SE,332,50,0.1506,3.9006,0.1898,2.6097,26.5059,23.4941
BA,3188,438,0.1374,3.9349,0.1698,2.306,254.5204,183.4796
RJ,12032,1601,0.1331,3.9682,0.1824,2.2071,960.5988,640.4012
TO,270,35,0.1296,4.1481,0.1222,2.4789,21.556,13.444
PA,915,110,0.1202,3.9113,0.1785,2.4739,73.0509,36.9491
ES,1952,230,0.1178,4.0841,0.1369,2.4016,155.8418,74.1582
MS,690,80,0.1159,4.1618,0.1327,2.2194,55.0875,24.9125
PB,504,55,0.1091,4.0635,0.1508,2.7299,40.2378,14.7622
RN,465,50,0.1075,4.1487,0.1293,2.3834,37.1242,12.8758
PE,1561,165,0.1057,4.0866,0.1476,2.2194,124.6256,40.3744
SC,3464,329,0.095,4.1402,0.1283,2.2746,276.5554,52.4446
GO,1900,148,0.0779,4.1079,0.1306,2.2284,151.6903,-3.6903
DF,2040,146,0.0716,4.1333,0.1318,2.2237,162.8675,-16.8675
RS,5249,374,0.0713,4.1869,0.1187,2.2821,419.0644,-45.0644
MT,868,57,0.0657,4.1488,0.128,2.3521,69.2985,-12.2985
SP,39719,2306,0.0581,4.2509,0.1056,2.138,3171.0459,-865.0459
MG,11118,615,0.0553,4.1914,0.1177,2.1779,887.6278,-272.6278
PR,4832,238,0.0493,4.2415,0.1086,2.2538,385.7724,-147.7724
RO,237,7,0.0295,4.1688,0.1181,2.0977,18.9214,-11.9214
