customer_state,orders,late_orders,late_rate,avg_review,low_review_rate,median_ship_days,expected_late_orders_at_network_rate,excess_late_orders,rank
RJ,12032,1601,0.1331,3.9682,0.1824,2.2071,960.5988,640.4012,1
BA,3188,438,0.1374,3.9349,0.1698,2.306,254.5204,183.4796,2
CE,1260,190,0.1508,3.9515,0.1685,2.2005,100.5946,89.4054,3
MA,704,137,0.1946,3.8293,0.2006,2.4962,56.2052,80.7948,4
ES,1952,230,0.1178,4.0841,0.1369,2.4016,155.8418,74.1582,5
AL,390,91,0.2333,3.8535,0.2108,2.6938,31.1364,59.8636,6
SC,3464,329,0.095,4.1402,0.1283,2.2746,276.5554,52.4446,7
PE,1561,165,0.1057,4.0866,0.1476,2.2194,124.6256,40.3744,8
PI,464,74,0.1595,3.9935,0.1616,2.25,37.0444,36.9556,9
PA,915,110,0.1202,3.9113,0.1785,2.4739,73.0509,36.9491,10
MS,690,80,0.1159,4.1618,0.1327,2.2194,55.0875,24.9125,11
SE,332,50,0.1506,3.9006,0.1898,2.6097,26.5059,23.4941,12
